
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 16:04:08
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 7)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 7 (802.11be)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Multi-Link Operation (MLO) Aktif
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
    * Link 1        : Frekuensi 6 GHz (Lebar Pita 320 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 4096-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 300 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 10.8s | Jarak: 107 m | RSSI: -54.2346 dBm | Tput: 2240.38 Mbps | Delay: 87.4713 ms | Jitter: 0.00616549 ms | Drop: 46876
[INFO] Waktu: 11s | Jarak: 109 m | RSSI: -54.5563 dBm | Tput: 2232.67 Mbps | Delay: 87.503 ms | Jitter: 0.0061247 ms | Drop: 47049
[INFO] Waktu: 11.2s | Jarak: 111 m | RSSI: -54.8722 dBm | Tput: 2233.91 Mbps | Delay: 87.5209 ms | Jitter: 0.00617667 ms | Drop: 46944
[INFO] Waktu: 11.4s | Jarak: 113 m | RSSI: -55.1824 dBm | Tput: 2192.63 Mbps | Delay: 88.5744 ms | Jitter: 0.00627028 ms | Drop: 47729
[INFO] Waktu: 11.6s | Jarak: 115 m | RSSI: -55.4872 dBm | Tput: 2201.99 Mbps | Delay: 88.3797 ms | Jitter: 0.00628293 ms | Drop: 47505
[INFO] Waktu: 11.8s | Jarak: 117 m | RSSI: -55.7867 dBm | Tput: 2047.49 Mbps | Delay: 91.9281 ms | Jitter: 0.00663853 ms | Drop: 50131
[INFO] Waktu: 12s | Jarak: 119 m | RSSI: -56.0811 dBm | Tput: 2035.3 Mbps | Delay: 92.9159 ms | Jitter: 0.00698687 ms | Drop: 50327
[INFO] Waktu: 12.2s | Jarak: 121 m | RSSI: -56.3707 dBm | Tput: 2032.66 Mbps | Delay: 93.1457 ms | Jitter: 0.00704085 ms | Drop: 50435
[INFO] Waktu: 12.4s | Jarak: 123 m | RSSI: -56.6555 dBm | Tput: 2040.02 Mbps | Delay: 92.7968 ms | Jitter: 0.00691359 ms | Drop: 50279
[INFO] Waktu: 12.6s | Jarak: 125 m | RSSI: -56.9357 dBm | Tput: 2029.89 Mbps | Delay: 93.1382 ms | Jitter: 0.00700402 ms | Drop: 50434
[INFO] Waktu: 12.8s | Jarak: 127 m | RSSI: -57.2175 dBm | Tput: 160.742 Mbps | Delay: 100.253 ms | Jitter: 0.0148434 ms | Drop: 81189
[INFO] Waktu: 13s | Jarak: 129 m | RSSI: -57.489 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84925
[INFO] Waktu: 13.2s | Jarak: 131 m | RSSI: -57.7501 dBm | Tput: 435.889 Mbps | Delay: 609.546 ms | Jitter: 0.0817976 ms | Drop: 77960
[INFO] Waktu: 13.4s | Jarak: 133 m | RSSI: -58.0195 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 84448
