
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 15:00:20
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 6)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 6 (802.11ax)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Single-Link (Non-MLO)
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 1024-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 650 meter
=======================================================

[INFO] Waktu: 22.6s | Jarak: 225 m | RSSI: -53.3878 dBm | Tput: 1251.32 Mbps | Delay: 131.679 ms | Jitter: 0.0133059 ms | Drop: 63709
[INFO] Waktu: 22.8s | Jarak: 227 m | RSSI: -53.4646 dBm | Tput: 1241.43 Mbps | Delay: 131.481 ms | Jitter: 0.0132824 ms | Drop: 63829
[INFO] Waktu: 23s | Jarak: 229 m | RSSI: -53.5408 dBm | Tput: 1246.37 Mbps | Delay: 131.829 ms | Jitter: 0.0132814 ms | Drop: 63728
[INFO] Waktu: 23.2s | Jarak: 231 m | RSSI: -53.6164 dBm | Tput: 1236.72 Mbps | Delay: 131.969 ms | Jitter: 0.0133771 ms | Drop: 63926
[INFO] Waktu: 23.4s | Jarak: 233 m | RSSI: -53.6912 dBm | Tput: 1239.25 Mbps | Delay: 131.91 ms | Jitter: 0.0133983 ms | Drop: 63883
[INFO] Waktu: 23.6s | Jarak: 235 m | RSSI: -53.7655 dBm | Tput: 1244.55 Mbps | Delay: 131.978 ms | Jitter: 0.0133531 ms | Drop: 63800
[INFO] Waktu: 23.8s | Jarak: 237 m | RSSI: -53.8391 dBm | Tput: 1237.78 Mbps | Delay: 131.959 ms | Jitter: 0.0133518 ms | Drop: 63884
[INFO] Waktu: 24s | Jarak: 239 m | RSSI: -53.9121 dBm | Tput: 1251.32 Mbps | Delay: 131.311 ms | Jitter: 0.0132572 ms | Drop: 63673
[INFO] Waktu: 24.2s | Jarak: 241 m | RSSI: -53.9845 dBm | Tput: 1252.44 Mbps | Delay: 131.089 ms | Jitter: 0.0129151 ms | Drop: 63675
[INFO] Waktu: 24.4s | Jarak: 243 m | RSSI: -54.0562 dBm | Tput: 1238.66 Mbps | Delay: 131.748 ms | Jitter: 0.00944124 ms | Drop: 63883
[INFO] Waktu: 24.6s | Jarak: 245 m | RSSI: -54.1274 dBm | Tput: 1240.6 Mbps | Delay: 131.915 ms | Jitter: 0.0111049 ms | Drop: 63842
[INFO] Waktu: 24.8s | Jarak: 247 m | RSSI: -54.1981 dBm | Tput: 1253.79 Mbps | Delay: 131.045 ms | Jitter: 0.0109126 ms | Drop: 63656
[INFO] Waktu: 25s | Jarak: 249 m | RSSI: -54.2681 dBm | Tput: 1238.95 Mbps | Delay: 131.931 ms | Jitter: 0.0134091 ms | Drop: 63859
[INFO] Waktu: 25.2s | Jarak: 251 m | RSSI: -54.3376 dBm | Tput: 1243.9 Mbps | Delay: 131.478 ms | Jitter: 0.0133362 ms | Drop: 63821
[INFO] Waktu: 25.4s | Jarak: 253 m | RSSI: -54.4065 dBm | Tput: 1251.32 Mbps | Delay: 131.305 ms | Jitter: 0.0132486 ms | Drop: 63690
[INFO] Waktu: 25.6s | Jarak: 255 m | RSSI: -54.4749 dBm | Tput: 1246.37 Mbps | Delay: 131.119 ms | Jitter: 0.0132408 ms | Drop: 63740
[INFO] Waktu: 25.8s | Jarak: 257 m | RSSI: -54.5428 dBm | Tput: 1236.48 Mbps | Delay: 132.446 ms | Jitter: 0.0134124 ms | Drop: 63948
[INFO] Waktu: 26s | Jarak: 259 m | RSSI: -54.6101 dBm | Tput: 1243.9 Mbps | Delay: 131.679 ms | Jitter: 0.0133494 ms | Drop: 63770
